year,nominal_gdp_usd,inflation_percent,exchange_rate
2015,1539212301135.55,0.70633177245575,1130.9525
2016,1579150518945.44,0.971685739912168,1160.7675
2017,1710196756713.17,1.94433230786366,1131.00083333333
2018,1824251454306.83,1.47583935002645,1100.16333333333
2019,1751045752054.63,0.383000303608136,1165.3575
2020,1744070276373.34,0.537288023411737,1180.26583333333
2021,1942313560965.9,2.49833333333339,1143.95166666667
2022,1799363116866.52,5.08951365062842,1291.44666666667
2023,1844800934391.54,3.5974562502901,1305.6625
2024,1875388209406.8,2.32174328643542,1363.375
